rotten_tomatoes_link,movie_info
m/1000640-all_of_me,"While on her deathbed, the rich Edwina Cutwater (Lily Tomlin) has her lawyer Roger Cobb (Steve Martin) add the odd stipulation to her will that her soul will be inherited by the young Terry Hoskins (Victoria Tennant). The plan backfires when Edwina dies. She ends up inhabiting Roger's body and controlling only its right side. Edwina and Roger are forced to work together to find a way to get her soul out his body and into the body she originally intended."
m/1000643-all_quiet_on_the_western_front,"At the start of World War I, Paul Baumer (Richard Thomas) is a young German patriot, eager to fight. Indoctrinated with propaganda at school, he and his friends eagerly sign up for the army soon after graduation. But when the horrors of war soon become too much to bear, and as his friends die or become gravely wounded, Paul questions the sanity of fighting over a few hundreds yards of war-torn countryside. The film is based on the classic novel of the same name by Erich Maria Remarque."
m/10006434-dreamland,"Teenage Aubrey (Agnes Bruckner) is always there for everyone, including her father, Henry (John Corbett), who has not left the house since her mother died, and her friend Calista (Kelli Garner), who has multiple sclerosis. Her longing to experience life for herself begins to awaken, however, with the arrival of new neighbors, including a young man named Mookie (Justin Long). After setting Mookie up with Calista, Aubrey begins to feel jealous, but struggles to put her own needs above others'."
m/10006485-black_gold,"Fifteen million Ethiopians make a living related to coffee, which accounts for 67 percent of the country's foreign exports. Yet as profits soar for coffee sales, the farmers producing the beans continue to receive minimal payments, anywhere from 12 to 25 cents for every kilo picked. Businessman Tadesse Meskela tries to help raise the impoverished standard of living by negotiating, on behalf of 70,000 farmers, with coffee roasters willing to pay a fairer price for their labor."
m/1000654-all_the_kings_men,"Drama about the rise and fall of a corrupt southern governor who promises his way to power. Broderick Crawford portrays Willie Stark, who, once he is elected, finds that his vanity and power lust prove to be his downfall. The film is based on the 1946 Pulitzer Prize-winning novel by Robert Penn Warren."
m/10006588-street_fight,"Documentarian Marshall Curry chronicles the 2002 mayoral race in Newark, New Jersey. The election involves Sharpe James, who has held the seat for 16 years, and his challenger, attorney Cory Booker. Curry investigates the legality and ethics of the veteran mayor's tactics, and captures James' staff engaging in illicit behavior and threatening their competition with violence. James' vicious smear campaign is also documented. Spike Lee and Cornel West appear in the film on Booker's behalf."
m/10006780-lost_horizon,An airplane hijacking leaves a diplomat (Peter Finch) and other Westerners in the Tibetan utopia Shangri-La.
m/10006848-the_motel,"While shouldering the burden of cleaning his family's sleazy motor inn, 13-year-old Ernest (Jeffrey Chyau) dreams of being a writer. A ne'er-do-well named Sam (Sung Kang) arrives for a night but stays longer, and the fatherless boy sees in him a male figure to emulate."
m/10006849-once_in_a_lifetime,"This documentary looks back on a time when soccer briefly captured America's attention. The film profiles the North American Soccer League franchise the New York Cosmos and the sensation it created back in the 1970s. Using archival footage, old photos and anecdotes from former players and businessmen, it tells the story -- or several conflicting stories -- of a team starring Brazilian soccer legend Pele, formed by non-sports people and ultimately submarined by the league's excessive expansion."
m/10006856-requiem,"Michaela, an epileptic, enrolls in college to study education. She goes off her medication and soon begins hearing voices and seeing apparitions that tell her to avoid religious objects, although she is devoutly Roman Catholic. One priest scoffs at the idea that Michaela could be possessed by demons, but a younger pastor arranges an exorcism for the young woman."
m/10006940-silk,"Aiming to harness the energy found in some supernatural spirits, scientist Hashimoto (Yosuke Eguchi) and colleagues catch the ghost of a young boy. Hashimoto plans to use the energy to fuel an anti-gravity device he's invented. But, in order to tap into the ghost's essence, he must understand the silent words coming from its mouth. The scientists call in police officer Tung (Chen Chang), who can read lips, but, as they learn that the boy was murdered, the experiment goes in a scary direction."
m/10007139-park,"A dozen people and their myriad problems descend upon a quiet Los Angeles park at lunch hour. April (Dagney Kerr) comes to commit suicide but can't quite get it right. Peggy (Ricki Lake) and her best friend, Claire (Cheri Oteri), seek to humiliate Dennis (William Baldwin), Peggy's philandering husband, while co-workers Nathan (Trent Ford) and Babar (Maulik Pancholy) are determined to convince their female colleagues that they do indeed enjoy eating lunch in the nude."
m/10007142-the_4th_dimension,"When Jack finds Einstein's journal on unified field theory, he becomes obsessed with analyzing time and its connections to supernatural experiences."
m/10007333-bon_cop_bad_cop,"Two policemen (Colm Feore, Patrick Huard) from different Canadian provinces must work together to solve a crime."
m/10007415-amazing_grace,"In 18th-century England, House of Commons member William Wilberforce (Ioan Gruffudd) and his close friend and a future prime minister, William Pitt (Benedict Cumberbatch), begin a lengthy battle to abolish Great Britain's slave trade. Though Wilberforce's legislation is soundly defeated in 1791, his growing affection for Barbara Spooner (Romola Garai) inspires him to take up the fight once more."
m/10007538-silence,Photographs of a murdered woman (Ellouise Rothwell) from the 1960s prompts a cop (Richard Roxburgh) to reopen the case.
m/10007598-cocaine_cowboys,"Filmmaker Billy Corben recalls Miami drug wars of the 1970s and '80s, when Colombian drug lords turned the relatively quiet Florida city into a breeding ground for violence and excess. Corben interviews so-called ""survivors"" of the era, including dealers, smugglers and hit men."
m/10007614-gone,A British tourist (Shaun Evans) grows suspicious of a mysterious American's (Scott Mechlowicz) motive for joining him and his fiancee on a trip through the Australian Outback.
m/10007714-situation,"Anna (Connie Nielsen) is an American journalist who's falling in love with Iraqi photographer Zaid (Mido Hamada) against the backdrop of the war in Iraq. She's also ending a secret affair with Dan (Damian Lewis), an intelligence officer in Baghdad. The dangers of wartime Iraq heighten everyone's emotions, and the love triangle creates further stress when one of Anna's friends is killed, and Anna is kidnapped. Zaid and Dan must get together to rescue Anna before it's too late."
m/10007821-snow_blind,The culture and spirit of climbers and the mountains they ascend.
m/10007856-four_sheets_to_the_wind,His father's suicide prompts a young American Indian (Cody Lightning) to leave the reservation and explore the world outside.
m/10007886-the_tigers_tail,"Liam O'Leary (Brendan Gleeson) is a prosperous real estate tycoon who lives in Dublin with his wife, Jane (Kim Cattrall). Hoping to bring his profits and his career to new heights, Liam takes out a large bank loan with the prospect of building a new stadium. But, when his request for development is turned down by the city, his life stumbles into a downward spiral. More disturbing than his crippled assets is his mysterious double whom he keeps seeing around town."
m/10007893-its_a_boy_girl_thing,"Pretty teen girl Nell (Samaire Armstrong) is extremely bookish and can't wait to move on to higher education, while her dim-witted neighbor and classmate, Woody (Kevin Zegers), wants nothing more than to play football. When a class trip to a museum places Nell and Woody under an ancient Incan spell, the two awake the next day to find that they've switched bodies. As they cope with their bizarre situation, Nell and Woody realize that they must discover a way to reverse the spell."
m/10007898-slipstream,"An aging man, Felix Bonhoeffer (Anthony Hopkins), finds that the characters in a murder mystery, which he is writing as a screenplay, are invading his life. Although it astounds him that the real world and the play are merging, he fails to realize that he is losing his mind."
m/10007902-delirious,"Desperate to make it big as a photographer, Les (Steve Buscemi) befriends Toby (Michael Pitt), a young actor with no direction, who romances a pop star."
m/10007916_interview,"Pierre Peders (Steve Buscemi), a political reporter, receives an unwelcome assignment from his editor: Write a puff piece on Katya (Sienna Miller), a sexy starlet whose love life provides plentiful tabloid fodder. The pair manage to alienate each other within minutes, then Pierre is injured in an accident, and Katya brings him back to her apartment. An unusual encounter unfolds for the jaded journalist and the woman who may not be as stupid as she seems."
m/1000792-american_anthem,"Two gymnasts (Mitch Gaylord, Janet Jones) fall in love and train hard in Arizona for stiff competition in a world-class meet."
m/10007947-ten,"A series of interweaving vignettes spoof the Ten Commandments. In one story, a skydiver (Adam Brody) forgets to pack his parachute. When he lands, he doesn't die, but gets stuck in the ground, causing a media circus and jeopardizing his relationship with his girlfriend, Kelly (Winona Ryder). Later, Kelly begins a tumultuous relationship with a ventriloquist's dummy. In another story, a doctor (Ken Marino) obsessed with pranks accidentally kills a patient and winds up in jail."
m/10007985-happening,"An apocalyptic threat to humanity arrives out of the clear blue sky with a series of violent, inexplicable deaths spreading across the country. The cause of the terrifying phenomenon remains unknown, prompting science teacher Elliot Moore (Mark Wahlberg), his wife Alma (Zooey Deschanel) and his colleague Julian (John Alberto Leguizamo) to try to elude the invisible killer in Pennsylvania's farmland. Soon it becomes clear that no one is safe."
m/10008005-moliere,"In 17th-century France, playwright and actor Molière (Romain Duris) has his debts paid off by Monsieur Jourdain (Fabrice Luchini), freeing him from debtors prison. In return, Jourdain asks for acting lessons so he can win the heart of the beautiful widow Célimène (Ludivine Sagnier) by performing a short play for her. Presented to Jourdain's family as the priest Tartuffe, Molière begins to fall in love with Monsieur Jourdain's disregarded wife, Elmire (Laura Morante)."
m/10008126-straightheads,"There is instant chemistry between Alice (Gillian Anderson), a businesswoman, and Adam (Danny Dyer), a younger working-class man who installs a security system in her London apartment. She takes him to a party in the country, and they end up making love. But the night turns horrific when they encounter three thugs who maim Adam and rape Alice. The incident turns them into fearful recluses until Alice spots the leader of their attackers (Anthony Calf) -- and the two victims plot a brutal revenge."
m/10008140-borderland,"Ed (Brian Presley), Henry (Jake Muxworthy) and Phil (Rider Strong) are three American college graduates in search of wild times in Mexico. After a night of partying with two local women, Ed and Henry realize that Phil is missing. Joining forces with an ex-cop, their search for their friend leads them to a horrifying encounter with cultists who practice human sacrifice."
m/10008200-spiral,"A shy man with emotional problems befriends a co-worker whose love could give him a normal life, if he can overcome his dark past."
m/10008234-alexandra,"Elderly Aleksandra (Galina Vishnevskaya) visits her Russian soldier grandson, Denis (Vasily Shevtsov), at the Chechen war front, providing comfort as she tours his army base. While there, Aleksandra surprises everyone by climbing into an armored vehicle and brandishing a Kalashnikov rifle. Afterward, venturing outside, she meets a Chechen woman in town who bemoans the number of occupying troops, then has other adventures. All the while, Denis ponders the reason for her unexpected appearance."
m/10008390_blood_and_tears,"Officials, religious leaders and other citizens explore the unresolved feud between their peoples."
m/10008423-cool_school,Several artists try to make modern art more popular in Los Angeles.
m/10008496-pathology,"Medical student Ted Grey (Milo Ventimiglia) graduates at the top of his class and quickly joins an elite pathology program, whose top students invite him into their circle. There he uncovers a gruesome secret: They play a game in which one tries to commit the perfect, undetectable murder, then the others compete to determine the victim's cause of death."
m/10008502-christmas_carol,"Though London awaits the joyful arrival of Christmas, miserly Ebenezer Scrooge (Jim Carrey) thinks it's all humbug, berating his faithful clerk and cheerful nephew for their view. Later, Scrooge encounters the ghost of his late business partner, who warns that three spirits will visit him this night. The ghosts take Scrooge on a journey through his past, present and future in the hope of transforming his bitterness."
m/10008507-deep_water,"In 1968, Donald Crowhurst, an inexperienced British sailor, puts up his home as collateral, gains financial backing and enters the Golden Globe, the first nonstop boat race around the world. Under dire financial pressure, Crowhurst decides to set sail before his boat is fully built, leaving it unprepared for the stresses of the open ocean. Crowhurst is under-prepared himself, and his decision to embark before he and his vessel are ready sets a deadly chain of events into motion."
m/10008562-road_to_victory,A young football player (Mike Reilly) faces mounting pressure.
m/10008587-beverly_hills_chihuahua,"Chloe (Drew Barrymore), a pampered Chihuahua from Beverly Hills, gets an unwelcome taste of the real world when she gets lost in a tough part of Mexico. With no Rodeo Drive boutiques in sight, she is out of her element, until scrappy street dogs Delgado and Papi lend her a paw, helping her find her way home."
